Identifier,Name,ArXiV,Wikipedia,Wikidata,WordWindow,type
v,velocity,3,7,4,1,global
Delta,displacement,-,-,-,5,global
x,position,-,2,-,10,global
t,time,1,3,4,3,global
d,differential equation,-,7,-,-,global
a,acceleration,-,-,4,4,global
u,velocity,-,2,1,1,global
c,speed of light,-,1,2,-,global
k,kinetic,-,-,-,5,global
p,momentum,5,-,-,2,global
m,mass,1,3,2,8,global
gamma,factor,-,-,-,1,global
A,object,-,2,-,4,global
B,object,-,-,-,4,global
w,velocity,-,-,2,2,global
omega,velocity,-,-,-,6,global
r,radius,2,2,1,-,global
L,momentum,-,-,-,2,global
T,direction,-,-,-,3,global
R,radius,1,3,1,-,global
