Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
omega,angular velocity (Q161635),-,1,-,-,-,-,-,global,2452,-1
v,velocity (Q11465),3,7,4,-,-,3,-,global,3401,-1
r,distance (Q126017),5,1,5,-,-,-,-,global,1659,-1
\omega = \frac{v_{\perp}}{r},angular velocity (Q161635),-,-,-,-,-,-,-,global,7332,9345
v_{\perp},velocity (Q11465),-,-,-,-,-,7,-,global,2832,-1
alpha,angular acceleration (Q186300),-,-,-,-,-,-,-,global,4807,-1
d,N/A (N/A),-,-,-,-,-,-,-,global,False,False
t,time (Q11471),1,3,4,-,-,-,-,global,1690,-1
a,acceleration (Q11376),-,-,4,-,-,6,-,global,4284,-1
\alpha = \frac{d}{dt}(\frac{v_{\perp}}{r}),angular acceleration (Q186300),-,-,-,-,-,-,-,global,8161,3852
\alpha = \frac{1}{r}\frac{dv_{\perp}}{dt} - \frac{v_{\perp}}{r^2}\frac{dr}{dt},angular acceleration (Q186300),-,-,-,-,-,-,-,global,7285,5130
\frac{dv_{\perp}}{dt},tangential acceleration (N/A),-,-,-,-,-,-,-,global,6523,3932
a_{\perp},perpendicular acceleration (N/A),-,-,-,-,-,-,-,global,12302,3617
\frac{dr}{dt},acceleration (Q11376),-,-,-,-,-,6,-,global,3094,-1
\alpha = \frac{a_{\perp}}{r},angular acceleration (Q186300),-,-,-,-,-,-,-,global,6429,4303
\boldsymbol\omega,angular velocity (Q161635),-,-,-,-,-,-,-,global,5283,4933
\boldsymbol\omega =\frac{\mathbf r\times\mathbf v}{r^2},angular velocity (Q161635),-,-,-,-,-,-,-,global,8192,5782
\mathbf r,position (N/A),-,-,-,-,-,-,-,global,4782,6628
\mathbf v,velocity (Q11465),-,-,-,-,-,2,1,global,2020,-1
\boldsymbol\alpha,acceleration (Q11376),-,-,-,-,-,2,-,global,1705,-1
\boldsymbol\alpha = \frac{d}{dt}(\frac{\mathbf r\times\mathbf v}{r^2}),acceleration (Q11376),-,-,-,-,-,2,-,global,1347,-1
\boldsymbol\alpha = \frac{1}{r^2}(\mathbf r\times \frac{d\mathbf v}{dt} + \frac{d\mathbf r}{dt}\times \mathbf v)-\frac{2}{r^3}\frac{dr}{dt}(\mathbf r\times\mathbf v)\\\\ = \frac{1}{r^2}(\mathbf r\times \mathbf a + \mathbf v\times \mathbf v)-\frac{2}{r^3}\frac{dr}{dt}(\mathbf r\times\mathbf v)\\\\= \frac{\mathbf r\times \mathbf a}{r^2}-\frac{2}{r^3}\frac{dr}{dt}(\mathbf r\times\mathbf v).,Circular acceleration (N/A),-,-,-,-,-,-,1,global,1644,-1
\mathbf r\times\mathbf v,angular acceleration (Q186300),-,-,-,-,-,-,-,global,5865,6867
r^2\boldsymbol{\omega},angular acceleration (Q186300),-,-,-,-,-,-,-,global,5740,1612
-\frac{2}{r}\frac{dr}{dt}\boldsymbol{\omega},term (Q1969448),-,-,-,-,-,4,-,global,1809,-1
 \boldsymbol\alpha = \frac{\mathbf r\times \mathbf a}{r^2},angular acceleration (Q186300),-,-,-,-,-,-,-,global,6638,3798
\mathbf{a}_{\perp} =\boldsymbol{\alpha} \times\mathbf{r},acceleration (Q11376),-,-,-,-,-,2,-,global,3072,-1
tau,torque (Q48103),-,-,-,-,-,4,-,global,1903,-1
F,force (Q11402),-,9,2,-,-,8,-,global,3607,-1
\boldsymbol{\tau}=\mathbf r\times \mathbf F,torque (Q48103),-,-,-,-,-,4,-,global,2270,-1
\mathbf F,force (Q11402),-,-,-,-,-,4,-,global,2392,-1
m,mass (Q11423),1,3,2,-,-,-,-,global,1282,-1
\mathbf F = m\mathbf a,force (Q11402),-,-,-,-,-,6,-,global,3695,-1
\boldsymbol{\tau}=m(\mathbf r\times \mathbf a)=mr^2(\frac{\mathbf r\times \mathbf a}{r^2}),torque (Q48103),-,-,-,-,-,1,-,global,2056,-1
\boldsymbol{\alpha}=\frac{\mathbf r\times \mathbf a}{r^2}-\frac{2}{r}\frac{dr}{dt}\boldsymbol{\omega},acceleration (Q11376),-,-,-,-,-,4,-,global,1605,-1
\boldsymbol{\alpha},acceleration (Q11376),-,-,-,-,-,3,-,global,1858,-1
\boldsymbol{\omega},angular velocity (Q161635),-,-,-,-,-,-,-,global,7923,4170
\boldsymbol{\tau} = mr^2(\boldsymbol{\alpha}+\frac{2}{r}\frac{dr}{dt}\boldsymbol{\omega})\\\\=mr^2\boldsymbol{\alpha}+2mr\frac{dr}{dt}\boldsymbol{\omega}.,torque (Q48103),-,-,-,-,-,-,-,global,3999,5574
\boldsymbol{\tau} = mr^2\boldsymbol{\alpha},torque (Q48103),-,-,-,-,-,-,-,global,3551,4997
mr^2,term (N/A),-,-,-,-,-,-,-,global,2828,5902
