Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
omega,angular velocity (Q161635),-,1,-,-,-,-,-,global,2783,-1
pi,constant (Q188248),-,-,-,-,-,-,-,global,5883,-1
T,period (Q2642727),-,-,2,-,-,-,-,global,2065,-1
f,frequency (Q11652),-,-,1,-,-,2,-,global,1464,-1
"\omega = {{2 \pi} \over T} = {2 \pi f} , ",angular frequency (Q834020),-,-,-,-,-,-,-,global,10529,4044
h,Planck constant (Q122894),-,-,-,-,-,-,-,global,3098,-1
r,distance (Q126017),5,1,5,-,-,7,-,global,1526,-1
v,speed (Q3711325),-,4,1,-,-,10,-,global,3308,-1
vT,distance (Q126017),-,-,-,-,-,7,-,global,2783,-1
2\pi r,circumference (Q843905),-,-,-,-,-,-,-,global,5140,5264
\omega = v/r.,frequency (Q11652),-,-,-,-,-,1,-,global,5602,-1
"a = -\omega^2 x, ",acceleration (Q11376),-,-,-,-,-,1,-,global,1546,-1
a,acceleration (Q11376),-,-,4,-,-,1,-,global,1617,-1
 a = -4 \pi^2 f^2 x. ,acceleration (Q11376),-,-,-,-,-,-,-,global,5523,3079
x,displacement (Q190291),-,-,-,-,-,4,-,global,4252,-1
k,constant (Q188248),2,-,-,-,-,-,-,global,6185,-1
m,mass (Q11423),1,3,2,-,-,4,-,global,1711,-1
" \omega = \sqrt{\frac{k}{m}}, ",angular frequency (Q834020),-,-,-,-,-,-,-,global,5312,1956
C,capacitance (N/A),-,-,-,-,-,-,-,global,4627,9819
L,impedance (Q179043),-,-,-,-,-,-,-,global,4491,2640
\omega = \sqrt{\frac{1}{LC}}.,angular frequency (Q834020),-,-,-,-,-,-,-,global,5507,1231
