Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
k,radius (Q173817),-,-,-,-,-,5,-,local,11480,11480
I=r^2m,moment of inertia (Q165618),-,-,-,-,-,-,-,local,2424,2424
p,momentum (Q41273),5,-,-,-,-,3,-,global,715,-1
m,mass (Q11423),1,3,2,-,-,2,-,global,1432,-1
v,velocity (Q11465),3,7,4,-,-,-,-,global,2245,-1
"p = mv,",momentum (Q41273),-,-,-,-,-,3,2,global,1827,-1
L,angular momentum (Q161254),-,-,-,-,-,-,-,global,2599,-1
I,moment of inertia (Q165618),-,8,-,-,-,-,-,global,2122,-1
omega,angular velocity (Q161635),-,1,-,-,-,-,-,global,2269,-1
L = I\omega.,angular momentum (Q161254),-,-,-,-,-,-,-,global,4798,5210
"L = rmv,",angular momentum (Q161254),-,-,-,-,-,-,-,global,3694,4111
"L = rmv_\perp,",angular momentum (Q161254),-,-,-,-,-,-,-,global,4772,3537
r,radius (Q173817),2,2,1,-,-,-,-,global,1471,-1
"L = r_\perp mv,",angular momentum (Q161254),-,-,-,-,-,-,1,global,2995,-1
T,kinetic energy (Q46276),-,6,-,-,-,-,-,global,4531,-1
a,radius (Q173817),-,-,-,-,-,6,-,global,3178,-1
phi,angle (Q11352),-,3,-,-,-,-,-,global,1895,-1
T = \frac{1}{2}ma^2 \omega^2 = \frac{1}{2}ma^2 \dot{\phi}^2.,kinetic energy (Q46276),-,-,-,-,-,-,-,global,4478,5721
U,potential energy (N/A),-,-,-,-,-,-,-,global,4849,6822
U = 0.,potential energy (N/A),-,-,-,-,-,-,-,global,4432,2716
"\mathcal{L}\left(\phi, \dot{\phi}\right) = T - U = \frac{1}{2}ma^2 \dot{\phi}^2.",lagrangian (N/A),-,-,-,-,-,1,2,global,1967,-1
p_\phi = \frac{\partial \mathcal{L}}{\partial \dot{\phi}} = ma^2 \dot{\phi} = I\omega = L.,momentum (Q41273),-,-,-,-,-,2,-,global,1891,-1
"\mathbf{L} = I\boldsymbol{\omega},",angular momentum (Q161254),-,-,-,-,-,-,2,global,2341,-1
\boldsymbol{\omega}=\frac{\mathbf{r}\times\mathbf{v}}{r^2},angular velocity (Q161635),-,-,-,-,-,-,1,global,2207,-1
"  \mathbf{L} = \left(r^2m\right)\left(\frac{\mathbf{r}\times\mathbf{v}}{r^2}\right) \\             = m\left(\mathbf{r}\times\mathbf{v}\right) \\             = \mathbf{r}\times m\mathbf{v} \\             = \mathbf{r}\times\mathbf{p},",angular momentum (Q161254),-,-,-,-,-,-,-,global,4389,2753
"\omega\mathbf{\hat{u}} = \boldsymbol{\omega},",angular velocity (Q161635),-,-,-,-,-,-,1,global,5376,-1
"\omega = \frac{v_\perp}{r},",angular velocity (Q161635),-,-,-,-,-,-,1,global,1918,-1
"  \mathbf{L} = I\boldsymbol{\omega}\\             = I\omega\mathbf{\hat{u}}\\             = \left(r^2m\right)\omega\mathbf{\hat{u}}\\             = rmv_\perp \mathbf{\hat{u}}\\             = r_\perp mv\mathbf{\hat{u}},",angular momentum (Q161254),-,-,-,-,-,-,-,global,4247,1718
"\mathbf{L} =  m \mathbf{r} \times \mathbf{v} = m r^2 \left(\dot\theta\,\hat{\boldsymbol\varphi} - \dot\varphi \sin\theta\,\mathbf{\hat{\boldsymbol\theta}}\right).                              ",angular momentum (Q161254),-,-,-,-,-,-,-,global,4190,1429
"I=k^2m,",moment of inertia (Q165618),-,-,-,-,-,-,-,global,1349,-1
I=r^2m,moment of inertia (Q165618),-,-,-,-,-,-,-,global,1646,-1
F,force (Q11402),-,9,2,-,-,10,-,global,2673,-1
"\mathbf{F} = m\mathbf{a},",Newton's second law (N/A),-,-,-,-,-,-,1,global,2375,-1
\mathbf{L} = I\boldsymbol{\omega},angular momentum (Q161254),-,-,-,-,-,-,2,global,3029,-1
tau,torque (Q48103),-,-,-,-,-,3,-,global,2863,-1
\boldsymbol{\tau} = \frac{dI}{dt}\boldsymbol{\omega} + I\frac{d\boldsymbol{\omega}}{dt}. ,torque (Q48103),-,-,-,-,-,3,-,global,2163,-1
t,time (Q11471),1,3,4,-,-,2,-,global,3991,-1
\boldsymbol{\tau} = I\boldsymbol{\alpha} + 2rp_{||}\boldsymbol{\omega}.,torque (Q48103),-,-,-,-,-,9,1,global,2640,-1
alpha,angular acceleration (Q186300),-,-,-,-,-,-,-,global,4705,-1
z,coordinate (Q12753000),1,-,-,-,-,5,-,global,2142,-1
theta,angle (Q11352),1,1,-,-,-,4,-,global,2080,-1
