Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
F,force (Q11402),-,9,2,-,-,8,-,global,2187,-1
m,mass (Q11423),1,3,2,-,-,6,-,global,1826,-1
omega,angular velocity (Q161635),-,1,-,-,-,-,-,global,1278,-1
r,distance (Q126017),5,1,5,-,-,5,-,global,1214,-1
a,acceleration (Q11376),-,-,4,-,-,10,-,global,5201,-1
"\boldsymbol{F} = m\boldsymbol{a}\ ,",newton's law of motion (N/A),-,-,-,-,-,-,-,global,8768,4177
t,time (Q11471),1,3,4,-,-,-,-,global,1364,-1
" \boldsymbol{a}=\frac{\operatorname{d}^2\boldsymbol{r}}{\operatorname{d}t^2} \ , ",acceleration (Q11376),-,-,-,-,-,4,-,global,1802,-1
\boldsymbol{a} =\frac{\operatorname{d}^2\boldsymbol{r}}{\operatorname{d}t^2} = \frac{\operatorname{d}}{\operatorname{d}t}\frac{\operatorname{d}\boldsymbol{r}}{\operatorname{d}t} = \frac{\operatorname{d}}{\operatorname{d}t} \left( \left[\frac{\operatorname{d}\boldsymbol{r}}{\operatorname{d}t}\right] + \boldsymbol{\omega} \times \boldsymbol{r}\ \right) \\= \left[ \frac{\operatorname{d}^2 \boldsymbol{r}}{\operatorname{d}t^2} \right] + \boldsymbol{\omega}\times \left[ \frac{\operatorname{d} \boldsymbol{r}}{\operatorname{d}t} \right] +  \frac{\operatorname{d} \boldsymbol{\omega}}{\operatorname{d}t}\times\boldsymbol{r} +  \boldsymbol{\omega} \times \frac{\operatorname{d}\boldsymbol{r}}{\operatorname{d}t} \\=  \left[ \frac{\operatorname{d}^2 \boldsymbol{r}}{\operatorname{d}t^2} \right] + \boldsymbol{\omega}\times \left[ \frac{\operatorname{d} \boldsymbol{r}}{\operatorname{d}t} \right] +  \frac{\operatorname{d} \boldsymbol{\omega}}{\operatorname{d}t}\times\boldsymbol{r} +  \boldsymbol{\omega} \times \left( \left[\frac{\operatorname{d}\boldsymbol{r}}{\operatorname{d}t}\right] + \boldsymbol{\omega} \times \boldsymbol{r}\ \right) \\ = \left[ \frac{\operatorname{d}^2 \boldsymbol{r}}{\operatorname{d}t^2} \right] + \frac{\operatorname{d} \boldsymbol{\omega}}{\operatorname{d}t}\times\boldsymbol{r} + 2 \boldsymbol{\omega}\times \left[ \frac{\operatorname{d} \boldsymbol{r}}{\operatorname{d}t} \right] + \boldsymbol{\omega}\times ( \boldsymbol{\omega} \times \boldsymbol{r}) \ .,acceleration (Q11376),-,-,-,-,-,2,-,global,2276,-1
\boldsymbol{F} - m\frac{\operatorname{d} \boldsymbol{\omega}}{\operatorname{d}t}\times\boldsymbol{r} - 2m \boldsymbol{\omega}\times \left[ \frac{\operatorname{d} \boldsymbol{r}}{\operatorname{d}t} \right] - m\boldsymbol{\omega}\times (\boldsymbol{\omega}\times \boldsymbol{r}) ,force (Q11402),-,-,-,-,-,4,-,global,1563,-1
