Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
F,force (Q11402),-,9,2,-,-,-,-,global,4716,-1
m,mass (Q11423),1,3,2,-,-,10,-,global,2186,-1
a,acceleration (Q11376),-,-,4,-,-,9,-,global,5998,-1
\boldsymbol{F} = m\boldsymbol{a},equation of motion (N/A),-,-,-,-,-,-,-,global,8873,6496
U,velocity (Q11465),-,-,-,-,-,8,-,global,4985,-1
f,parameter (Q1413083),-,-,-,-,-,4,-,global,3947,-1
L,length (Q36253),2,-,5,-,-,3,-,global,2696,-1
R,Rossby number (N/A),-,-,-,-,-,-,-,global,6046,4745
Ro = \frac{U}{fL}.,Rossby number (N/A),-,-,-,-,-,-,-,global,8493,2263
Omega,angular velocity (N/A),-,-,-,-,-,-,-,global,6981,5890
omega,angular velocity (Q161635),-,1,-,-,-,-,-,global,1709,-1
varphi,angle (N/A),-,-,-,-,-,-,-,global,3009,5007
"\boldsymbol{ \Omega} = \omega \begin{pmatrix} 0 \\ \cos \varphi \\ \sin \varphi \end{pmatrix}\ ,",angular velocity (Q161635),-,-,-,-,-,-,-,global,6246,4336
"\boldsymbol{ a}_C =-2\boldsymbol{\Omega \times v}= 2\,\omega\, \begin{pmatrix} v_n \sin \varphi-v_u \cos \varphi \\ -v_e \sin \varphi \\ v_e \cos\varphi\end{pmatrix}\ .",acceleration (Q11376),-,-,-,-,-,8,-,global,2973,-1
v,velocity (Q11465),3,7,4,-,-,-,-,global,2586,-1
" \boldsymbol{ v} = \begin{pmatrix} v_e \\ v_n\end{pmatrix}\ ,",velocity (Q11465),-,-,-,-,1,-,-,global,5243,-1
"\boldsymbol{ \Omega} = \omega \begin{pmatrix} 0 \\ 1 \\ 0 \end{pmatrix}\ ,",angular velocity (Q161635),-,-,-,-,-,-,-,global,6760,2097
"R= \frac {v}{f}\,",radius (Q173817),-,-,-,-,-,1,-,global,1653,-1
