Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
F,force (Q11402),-,9,2,-,-,3,-,global,3872,-1
theta,angle (Q11352),1,1,-,-,-,4,-,global,1605,-1
W,work (Q42213),-,4,-,-,-,1,-,global,2138,-1
 W = F s \cos{\theta},work (Q42213),-,-,-,-,-,1,-,global,1562,-1
s,displacement (Q190291),-,4,-,-,-,-,-,global,2852,-1
 W = F s,work (Q42213),-,-,-,-,-,7,-,global,3969,-1
" W = \int_C F\,ds",work (Q42213),-,-,-,-,-,-,-,global,2528,3259
" W =  \int_{t_1}^{t_2}\mathbf{F} \cdot \mathbf{v}dt =  \int_{t_1}^{t_2}\mathbf{F} \cdot {\tfrac{d\mathbf{s}}{dt}}dt =\int_C \mathbf{F} \cdot d\mathbf{s},",work (Q42213),-,-,-,-,-,1,-,global,4288,-1
W = \int_C \mathbf{F} \cdot d\mathbf{s} = Fs\cos\theta.,work (Q42213),-,-,-,-,-,-,-,global,9221,5511
 W = \int_{a}^{b} \mathbf{F(s)} \cdot d\mathbf{s},work (Q42213),-,-,-,-,-,2,-,global,1853,-1
omega,angular velocity (Q161635),-,1,-,-,-,-,-,global,2446,-1
t,time (Q11471),1,3,4,-,-,-,-,global,1577,-1
T,kinetic energy (Q46276),-,6,-,-,-,-,-,global,4353,-1
" dW = \mathbf{T}\cdot\vec{\omega}dt,",work (Q42213),-,-,-,-,-,2,-,global,2210,-1
 W =  \int_{t_1}^{t_2}\mathbf{T}\cdot\vec{\omega}dt.,work (Q42213),-,-,-,-,-,1,1,global,1665,-1
tau,torque (Q48103),-,-,-,-,-,3,-,global,2618,-1
" \mathbf{T}=\tau\mathbf{S},",torque (Q48103),-,-,-,-,-,3,-,global,2076,-1
phi,angle (Q11352),-,3,-,-,-,-,-,global,1606,-1
 W=Fs = Fr\phi .,work (Q42213),-,-,-,-,-,1,-,global,1455,-1
" W = \int_C \mathbf{F} \cdot d\mathbf{x} =  \int_{t_1}^{t_2}\mathbf{F}\cdot \mathbf{v}dt,",work (Q42213),-,-,-,-,-,6,-,global,5781,-1
 W = \int_C \mathbf{F} \cdot \mathrm{d}\mathbf{x} =  \int_{\mathbf{x}(t_1)}^{\mathbf{x}(t_2)} \mathbf{F} \cdot \mathrm{d}\mathbf{x} =  U(\mathbf{x}(t_1))-U(\mathbf{x}(t_2)).,work (Q42213),-,-,-,-,-,3,-,global,2081,-1
U,potential energy (N/A),-,-,-,-,-,-,-,global,2016,-1
x,coordinate (Q12753000),5,-,-,-,-,-,-,global,2486,-1
y,coordinate (Q12753000),1,-,-,-,-,-,-,global,1998,-1
z,coordinate (Q12753000),1,-,-,-,-,-,-,global,1611,-1
" \nabla W =  -\nabla U= -\left(\frac{\partial U}{\partial x}, \frac{\partial U}{\partial y}, \frac{\partial U}{\partial z}\right) = \mathbf{F},",force (Q11402),-,-,-,-,-,-,-,global,9747,6228
P,power (Q25342),-,-,3,-,-,8,-,global,4219,-1
v,velocity (Q11465),3,7,4,-,-,2,-,global,2375,-1
P(t) = -\nabla U \cdot \mathbf{v} = \mathbf{F}\cdot\mathbf{v}.,power (Q25342),-,-,-,-,-,8,-,global,6553,-1
m,mass (Q11423),1,3,2,-,-,-,-,global,1435,-1
W = F_g (y_2 - y_1) = F_g\Delta y = - mg\Delta y,work (Q42213),-,-,-,-,-,3,-,global,1737,-1
r,radius (Q173817),2,2,1,-,-,-,-,global,1523,-1
" \mathbf{F}=-\frac{GMm}{r^3}\mathbf{r},",force (Q11402),-,-,-,-,-,-,4,global,3077,-1
" U=-\frac{GMm}{r}, ",gravitational potential (N/A),-,-,-,-,-,-,-,global,12140,4257
 W=-\int^{\mathbf{r}(t_2)}_{\mathbf{r}(t_1)}\frac{GMm}{r^3}\mathbf{r}\cdot d\mathbf{r}=-\int^{t_2}_{t_1}\frac{GMm}{r^3}\mathbf{r}\cdot\mathbf{v}dt.,work (Q42213),-,-,-,-,-,4,-,global,2061,-1
 W=\int_0^t\mathbf{F}\cdot\mathbf{v}dt =-\int_0^tkx v_x dt = -\frac{1}{2}kx^2. ,work (Q42213),-,-,-,-,-,6,-,global,1153,-1
k,constant (Q188248),2,-,-,-,-,-,-,global,2452,-1
V,volume (Q39297),4,2,2,-,-,2,-,global,2292,-1
 W=\int_a^b{P}dV  ,work (Q42213),-,-,-,-,-,10,-,global,3686,-1
 W=\Delta E_k=\tfrac12mv_2^2-\tfrac12mv_1^2,work (Q42213),-,-,-,-,-,6,-,global,1975,-1
