Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
c,speed of light,-,1,-,-,-,-,global,6679,-1000
v,velocity,3,7,-,-,-,-,global,9467,-1000
lambda,wavelength,-,5,-,-,4,-,global,3714,-1000
H,hubble constant,-,-,-,-,-,-,global,4367,7514
T,temperature,1,3,-,-,5,-,global,1192,-1000
b,Wien 's displacement constant,-,-,-,-,-,-,global,851,-1000
L,luminosity,-,10,-,-,3,-,global,3903,-1000
sigma,Stefan–Boltzmann constant,-,-,-,-,-,-,global,766,-1000
R,radius,1,3,-,-,-,-,global,3725,-1000
f,frequency,-,-,-,-,1,-,global,2519,-1000
z,red shift,-,-,-,-,-,-,global,5099,-1000
d,distance,-,-,-,-,2,-,global,3481,-1000
