Identifier,Name,ArXiV,Wikipedia,Wikidata,WordWindow,type
F,force,-,9,2,3,global
k,constant,2,-,-,-,global
x,displacement,-,-,-,1,global
theta,velocity,-,-,-,1,global
mu,damping,-,-,-,1,global
Gamma,force,-,-,-,1,global
R,torque,-,-,-,1,global
G,voltage,-,-,-,1,global
m,mass,1,3,2,7,global
a,acceleration,-,-,4,-,global
d,differential equation,-,7,-,-,global
t,time,1,3,4,-,global
A,constant,7,-,-,-,global
omega,frequency,3,-,-,-,global
varphi,phase,-,-,-,-,global
f,frequency,-,-,1,8,global
T,period,-,-,2,9,global
zeta,ratio,-,-,-,1,global
c,speed of light,-,1,2,-,global
lambda,decay,-,-,-,2,global
Q,factor,-,-,-,2,global
e,constant,2,-,-,-,global
Z,response,-,-,-,2,global
n,integer,2,-,-,-,global
r,radius,2,2,1,-,global
tau,time,1,-,-,-,global
q,parameter,2,-,-,-,global
i,complex,10,-,-,-,global
L,energy,-,-,-,4,global
V,energy,-,-,-,4,global
C,constant,1,-,-,-,global
O,order,-,-,-,-,global
l,length,1,-,1,-,global
g,constant,3,-,-,-,global
U,amplitude,-,-,-,1,global
M,mass,1,1,-,-,global
