Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
lambda,wavelength,-,5,-,-,2,-,global,6508,-1
T,temperature,1,3,-,-,5,-,global,2859,-1
b,Wien 's displacement constant,-,-,-,-,-,-,global,17338,-1
L,luminosity,-,10,-,-,3,-,global,4297,-1
pi,constant,-,-,-,-,-,-,global,3568,14790
R,radius,1,3,-,-,-,-,global,1566,-1
sigma,Stefan–Boltzmann constant,-,-,-,-,-,-,global,1752,-1
v,velocity,3,7,-,-,-,-,global,5681,-1
c,speed of light,-,1,-,-,-,-,global,2299,-1
H,hubble constant,-,-,-,-,-,-,global,3408,-1
d,distance,-,-,-,-,-,-,global,3813,-1
z,redshift,7,-,-,-,1,-,global,2417,-1
f,frequency,-,-,-,-,1,-,global,1292,-1
