Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
lambda,wavelength (Q41364),-,5,-,-,-,2,-,global,4711,-1
T,temperature (P2076),1,3,4,-,-,5,-,global,2397,-1
b,Wien 's displacement constant (N/A),-,-,-,-,-,-,-,global,1497,-1
L,luminosity (N/A),-,10,-,-,-,3,-,global,3464,-1
pi,constant (Q188248),-,-,-,-,-,-,-,global,2370,-1
R,radius (Q173817),1,3,1,-,-,-,-,global,2457,-1
sigma,Stefan–Boltzmann constant (N/A),-,-,-,-,-,-,-,global,1719,-1
v,velocity (Q11465),3,7,4,-,-,-,-,global,3132,-1
c,speed of light (Q2111),-,1,2,-,-,-,-,global,1522,-1
H,hubble constant (N/A),-,-,-,-,-,-,-,global,8029,-1
d,N/A (N/A),-,-,-,-,-,-,-,global,False,False
z,N/A (N/A),-,-,-,-,-,-,-,global,False,False
f,frequency (Q11652),-,-,1,-,-,1,-,global,1423,-1
\lambda_\text{max} T = b,Wien's displacement law (Q214336),-,-,-,1,-,-,1,global,2216,-1
L= 4 \pi R^2 \sigma T^4,luminosity (N/A),-,-,-,-,-,3,1,global,4623,-1
\frac{\lambda-\lambda_0}{\lambda_0}=\frac{v_0}{c},blueshift (Q845345),-,-,-,-,-,7,1,global,2926,-1
\lambda_0,N/A (N/A),-,-,-,-,-,-,-,global,False,False
v_0,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\lambda,N/A (N/A),-,-,-,-,-,-,-,global,False,False
v = H_0 d,Hubble's law (Q179916),-,-,-,-,-,-,1,global,1616,-1
H_0,N/A (N/A),-,-,-,-,-,-,-,global,False,False
z = \frac{\lambda_{\mathrm{obsv}} - \lambda_{\mathrm{emit}}}{\lambda_{\mathrm{emit}}},redshift (N/A),-,-,-,-,-,-,1,global,4885,-1
z = \frac{f_{\mathrm{emit}} - f_{\mathrm{obsv}}}{f_{\mathrm{obsv}}},redshift (N/A),-,-,-,-,-,-,-,global,3032,5529
1+z = \frac{\lambda_{\mathrm{obsv}}}{\lambda_{\mathrm{emit}}},redshift (N/A),-,-,-,-,-,6,1,global,2341,-1
1+z = \frac{f_{\mathrm{emit}}}{f_{\mathrm{obsv}}},redshift (N/A),-,-,-,-,-,6,-,global,2857,-1
z = \frac{v_\text{Hubble}}{c},Doppler effect and Hubble's law (N/A),-,-,-,-,-,-,1,global,2430,-1
v_\text{total} = H_0 d + v_\mathrm{pec},Hubble's law (Q179916),-,-,-,-,-,-,-,global,4706,1358
