Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
R,center of mass (N/A),-,-,-,-,-,-,-,global,4940,1814
"\mathbf{R} = \frac 1M \sum_{i=1}^n m_i \mathbf{r}_i,",center of mass (Q2945123),-,-,-,1,-,-,-,global,2082,-1
m,mass (Q11423),1,3,2,-,-,8,-,global,1970,-1
n,integer (Q12503),2,-,-,-,-,-,-,global,2862,-1
i,integer (N/A),-,-,-,-,-,-,-,global,4304,6732
r,coordinate (Q12753000),1,-,-,-,-,-,-,global,1990,-1
V,volume (Q39297),4,2,2,-,-,3,-,global,1623,-1
"\mathbf R = \frac 1M \iiint\limits_{Q}\rho(\mathbf{r}) \mathbf{r} dV,",center of mass (Q2945123),-,-,-,-,-,-,-,global,5136,7061
rho,density (Q29539),1,1,-,-,-,-,-,global,1475,-1
 \mathbf{R} = \frac{1}{m_1+m_2}(m_1 \mathbf{r}_1 + m_2\mathbf{r}_2).,center of mass (Q2945123),-,-,-,-,-,-,-,global,4988,3250
xi,coordinate (N/A),-,-,-,-,-,-,-,global,3784,4695
zeta,coordinate (N/A),-,-,-,-,-,-,-,global,3992,6350
"\overline{\xi} = \frac 1M \sum_{i=1}^n m_i \xi_i,",center of mass (Q2945123),-,-,-,-,-,-,-,global,8400,1112
"\overline{\zeta} = \frac 1M \sum_{i=1}^n m_i \zeta_i,",center of mass (Q2945123),-,-,-,-,-,-,-,global,5488,1036
theta,angle (Q11352),1,1,-,-,-,3,-,global,2021,-1
x,coordinate (N/A),-,-,-,-,-,-,-,global,3609,5151
" \overline{\theta} = \mathrm{atan2}(-\overline{\zeta},-\overline{\xi}) + \pi ",center of mass (Q2945123),-,-,-,-,-,-,-,global,5526,3175
 x_{com} = x_{max} \frac{ \overline{\theta}}{2 \pi} ,center of mass (Q2945123),-,-,-,-,-,-,-,global,3801,666
pi,constant (Q188248),-,-,-,-,-,-,-,global,1778,-1
F,force (Q11402),-,9,2,-,-,3,-,global,2058,-1
M,mass (Q11423),1,1,-,-,-,-,-,global,1151,-1
g,gravitational constant (Q18373),-,-,-,-,-,-,-,global,1482,-1
" \mathbf{F} = \iiint\limits_{Q} \mathbf{f}(\mathbf{r})dV =  \iiint\limits_{Q}\rho(\mathbf{r})dV( -g\vec{k}) = -Mg\vec{k},",force (Q11402),-,-,-,-,-,3,-,global,3256,-1
 \mathbf{T} =  \iiint\limits_{Q} (\mathbf{r}-\mathbf{R})\times \mathbf{f}(\mathbf{r})dV = \iiint\limits_{Q} (\mathbf{r}-\mathbf{R})\times   (-g\rho(\mathbf{r})dV\vec{k} )= \left(\iiint\limits_{Q} \rho(\mathbf{r}) (\mathbf{r}-\mathbf{R})dV \right)\times   (-g\vec{k}) .,torque (Q48103),-,-,-,-,-,4,-,global,2092,-1
" \mathbf{r}_i = (\mathbf{r}_i - \mathbf{R}) + \mathbf{R}, \quad \mathbf{v}_i = \frac{d}{dt}(\mathbf{r}_i - \mathbf{R}) + \mathbf{v}.",position (N/A),-,-,-,-,-,3,-,global,2054,-1
p,momentum (Q41273),5,-,-,-,-,2,-,global,1635,-1
" \mathbf{p} = \frac{d}{dt}\left(\sum_{i=1}^n m_i (\mathbf{r}_i - \mathbf{R})\right) + \left(\sum_{i=1}^n m_i\right) \mathbf{v},",momentum (Q41273),-,-,-,-,-,2,-,global,1999,-1
L,angular momentum (Q161254),-,-,-,-,-,-,-,global,7249,3361
 \mathbf{L} = \sum_{i=1}^n m_i (\mathbf{r}_i-\mathbf{R})\times \frac{d}{dt}(\mathbf{r}_i - \mathbf{R}) + \left(\sum_{i=1}^n m_i \right) \left[\mathbf{R} \times \frac{d}{dt}(\mathbf{r}_i - \mathbf{R}) + (\mathbf{r}_i - \mathbf{R}) \times \mathbf{v} \right] + \left(\sum_{i=1}^n m_i \right)\mathbf{R} \times \mathbf{v},angular momentum (Q161254),-,-,-,-,-,-,-,global,5288,2982
t,time (Q11471),1,3,4,-,-,-,-,global,1871,-1
v,velocity (Q11465),3,7,4,-,-,-,-,global,2369,-1
" \mathbf{p} = m\mathbf{v},\quad \mathbf{L} = \sum_{i=1}^n m_i (\mathbf{r}_i-\mathbf{R})\times \frac{d}{dt}(\mathbf{r}_i - \mathbf{R}) + \sum_{i=1}^n m_i \mathbf{R} \times \mathbf{v}",momentum (Q41273),-,-,-,-,-,3,-,global,1734,-1
"\mathbf{T}= (\mathbf{r}_1-\mathbf{R})\times\mathbf{F}_1+(\mathbf{r}_2-\mathbf{R})\times\mathbf{F}_2+(\mathbf{r}_3-\mathbf{R})\times\mathbf{F}_3=0,",torque (Q48103),-,-,-,-,-,1,-,global,1663,-1
 \mathbf{R}^* =-\frac{1}{W} \mathbf{\hat{k}}\times(\mathbf{r}_1\times\mathbf{F}_1+\mathbf{r}_2\times\mathbf{F}_2+\mathbf{r}_3\times\mathbf{F}_3).,center of mass (Q2945123),-,-,-,-,-,-,-,global,5912,1188
