Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
theta,angle (Q11352),1,1,-,-,-,2,-,global,1815,-1
omega,angular velocity (Q161635),-,1,-,-,-,-,-,global,2272,-1
pi,constant (Q188248),-,-,-,-,-,-,-,global,2390,-1
f,frequency (Q11652),-,-,1,-,-,-,-,global,1675,-1
t,time (Q11471),1,3,4,-,-,1,-,global,1473,-1
T,period (Q2642727),-,-,2,-,-,-,-,global,3899,-1
\omega = \frac {2 \pi}{T} = 2\pi f = \frac{d\theta}{dt} \ ,angular velocity (Q161635),-,-,-,3,-,-,-,global,4728,-1
r,radius (Q173817),2,2,1,-,-,-,-,global,1889,-1
v,velocity (Q11465),3,7,4,-,-,-,-,global,2247,-1
v = \frac{2 \pi r}{T} = \omega r,velocity (Q11465),-,-,-,-,2,-,-,global,2682,-1
\alpha = \frac{d\omega}{dt},acceleration (Q11376),-,-,-,-,-,1,-,global,2259,-1
"\theta = 2 \pi \frac{t}{T} = \omega t\,",velocity (Q11465),-,-,-,-,-,4,-,global,4306,-1
R,displacement (N/A),-,-,-,-,-,-,-,global,5978,8777
u,vector (N/A),-,-,-,-,-,-,-,global,3899,3753
\vec{v}(t) = \frac{d}{dt} \vec{r}(t) = \frac{d R}{dt} \hat{u}_R(t) + R \frac{d \hat{u}_R}{dt} \ .,velocity (Q11465),-,-,-,-,-,-,-,global,5016,7505
m,mass (Q11423),1,3,2,-,-,-,-,global,2352,-1
a,acceleration (Q11376),-,-,4,-,-,1,-,global,2630,-1
F,force (Q11402),-,9,2,-,-,-,-,global,6678,-1
"  F_{net} = ma\, \\  F_{net} = ma_r\, \\  F_{net} = \frac{mv^2}{r}\, \\  F_{net} = F_c\,",force (Q11402),-,-,-,-,-,-,-,global,3538,6853
