Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
lambda,wavelength (Q41364),-,5,-,-,-,7,-,global,5440,-1
theta,angle (Q11352),1,1,-,-,-,6,-,global,2352,-1
 = \frac{,N/A (N/A),-,-,-,-,-,-,-,global,False,False
h,Planck constant (Q122894),-,-,-,-,-,-,-,global,3984,-1
m,mass (Q11423),1,3,2,-,-,-,-,global,1538,-1
c,speed of light (Q2111),-,1,2,-,-,-,-,global,623,-1
e,electron (N/A),-,9,-,-,-,5,-,global,11978,-1
}(1-\cos{\,N/A (N/A),-,-,-,-,-,-,-,global,False,False
"\lambda' - \lambda = \frac{h}{m_e c}(1-\cos{\theta}),",Compton scattering (N/A),-,-,-,-,-,-,1,global,9402,-1
E,energy (Q11379),1,4,2,-,-,1,-,global,733,-1
gamma,compton (N/A),-,-,-,-,-,10,-,global,77624,-1
f,frequency (Q11652),-,-,1,-,-,-,-,global,1438,-1
p,momentum (Q41273),5,-,-,-,-,3,-,global,8242,-1
E=mc^2,mass–energy equivalence (Q35875),-,-,-,1,-,-,1,global,2211,-1
t,time (Q11471),1,3,4,-,-,-,-,global,1513,-1
J,angular momentum (N/A),-,3,-,-,-,-,-,global,6413,-1
