Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
m,mass (Q11423),1,3,2,-,-,-,-,global,1951,-1
v,velocity (Q11465),3,7,4,-,-,4,-,global,4025,-1
e,charge (Q66134451),1,8,-,-,-,-,-,global,2262,-1
V,potential (Q12559031),3,-,-,-,-,-,-,global,1917,-1
E,energy (Q11379),1,4,2,-,-,-,-,global,603,-1
g,N/A (N/A),-,-,-,-,-,-,-,global,False,False
k,gravitational constant (N/A),-,-,-,-,-,-,-,global,8016,5983
M,mass (Q11423),1,1,-,-,-,-,-,global,1125,-1
r,distance (Q126017),5,1,5,-,-,7,-,global,1131,-1
i,ion (N/A),-,-,-,-,-,-,-,global,1777,-1
c,speed of light (Q2111),-,1,2,-,-,-,-,global,3053,-1
\frac{1}{2} mv^2 = eV_{ion},Critical ionization velocity (Q5186734),-,-,-,1,-,-,1,global,1157,-1
eV_{ion} = E_g = \frac{k M m}{r},ionization potential (N/A),-,-,-,-,-,-,2,global,7317,-1
r_{i} = E_g = \frac{k M m}{eV_{ion}} = 6.9\cdot 10^{-20}M \frac{m'}{V_{ion}} = 13.5\cdot 10^{13} \frac{m'}{V_{ion}} cm,critical ionization distance (N/A),-,-,-,-,-,-,-,global,10297,3580
