Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
o,N/A (N/A),-,-,-,-,-,-,-,local,False,False
 v_M \to 0 ,N/A (N/A),-,-,-,-,-,-,-,local,False,False
\frac{d\mathbf{v}_M}{dt} = -16 \pi^2 \ln \Lambda G^2 m (M+m) \frac{1}{v_M^3}\int_0^{v_M}v^2 f(v)  d v \mathbf{v}_M,Chandrasekhar dynamical friction formula (N/A),-,-,-,-,-,-,1,global,2172,-1
d,N/A (N/A),-,-,-,-,-,-,-,global,False,False
v,velocity (Q11465),3,7,4,-,-,9,-,global,4816,-1
M,mass (Q11423),1,1,-,-,-,-,-,global,2191,-1
m,mass (Q11423),1,3,2,-,-,3,-,global,1209,-1
G,gravitational constant (Q18373),-,7,-,-,-,-,-,global,5517,-1
t,time (Q11471),1,3,4,-,-,-,-,global,2078,-1
pi,constant (Q188248),-,-,-,-,-,-,-,global,2007,-1
n,N/A (N/A),-,-,-,-,-,-,-,global,False,False
l,N/A (N/A),-,-,-,-,-,-,-,global,False,False
Lambda,Coulomb collision (N/A),-,-,-,-,-,-,-,global,9328,2349
 \mbox{ln}(\Lambda) ,Coulomb logarithm (N/A),-,-,-,-,-,-,1,global,1377,-1
f,number density (Q176449),-,-,-,-,-,-,-,global,4535,9557
 {v_M} ,N/A (N/A),-,-,-,-,-,-,-,global,False,False
f(v),N/A (N/A),-,-,-,-,-,-,-,global,False,False
f(v) = \frac{N}{(2\pi\sigma^2)^{3/2}}e^{-\frac{v^2}{2\sigma^2}},Maxwellian distribution (N/A),-,-,-,-,-,-,1,global,3459,-1
N,number (N/A),2,-,-,-,-,7,-,global,3173,-1
sigma,dispersion (Q182893),-,-,-,-,-,5,-,global,6256,-1
e,constant (Q188248),2,-,-,-,-,-,-,global,1720,-1
\sigma,N/A (N/A),-,-,-,-,-,-,-,global,False,False
rho,density (Q29539),1,1,-,-,-,3,-,global,1781,-1
X,ratio (N/A),-,-,-,-,-,4,-,global,2563,-1
 \frac{d\mathbf{v}_M}{dt} = -\frac{4\pi \ln (\Lambda) G^2  \rho M}{v_M^3}\left[\mathrm{erf}(X)-\frac{2X}{\sqrt{\pi}}e^{-X^2}\right]\mathbf{v}_M,Chandrasekhar dynamical friction formula (N/A),-,-,-,-,-,-,1,global,2967,-1
 X = v_M/(\sqrt{2} \sigma) ,ratio (N/A),-,-,-,-,-,4,-,global,2111,-1
 \mathrm{erf}(X) ,N/A (N/A),-,-,-,-,-,-,-,global,False,False
 \rho= mN ,density of matter field (N/A),-,-,-,-,-,-,1,global,3360,-1
F_{dyn} \approx C \frac{G^2 M^2 \rho}{v^2_M},force from dynamical friction (N/A),-,-,-,-,-,-,1,global,3259,-1
F,force (Q11402),-,9,2,-,-,3,-,global,3790,-1
 C ,N/A (N/A),-,-,-,-,-,-,-,global,False,False
v_M,N/A (N/A),-,-,-,-,-,-,-,global,False,False
C,numerical factor (N/A),-,-,-,-,-,-,-,global,5820,2465
