Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
\kappa^{2} \equiv \frac{2 \Omega}{R}\frac{d}{dR}(R^2 \Omega),epicyclic frequency (N/A),-,-,-,-,-,-,2,global,2862,-1
Omega,differential rotation (N/A),-,-,-,-,-,-,-,global,5715,11103
kappa,frequency (Q11652),-,-,-,-,-,-,-,global,4851,8817
R,radius (Q173817),1,3,1,-,-,-,-,global,1560,-1
d,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\Omega,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\kappa,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\kappa^{2},N/A (N/A),-,-,-,-,-,-,-,global,False,False
c,speed of light (Q2111),-,1,2,-,-,-,-,global,1608,-1
6GM/c^{2},N/A (N/A),-,-,-,-,-,-,-,global,False,False
\kappa = \Omega,Keplerian disk (N/A),-,-,-,-,-,-,1,global,2019,-1
