Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
M,continuous function (Q5165476),-,10,-,-,-,-,-,global,3883,-1
r,position (N/A),-,-,-,-,-,-,-,global,4306,12611
t,time (Q11471),1,3,4,-,-,7,-,global,2624,-1
"M\left[\mathbf{r}(t),\mathbf{\dot{r}}(t),\mathbf{\ddot{r}}(t),t\right]=0\,,",differential equation (N/A),-,-,-,-,-,-,-,global,7191,6089
" \mathbf{r}(0) \,, \quad \mathbf{\dot{r}}(0) \,. ",initial conditions (N/A),-,-,-,-,-,-,-,global,7174,11486
v,velocity (Q11465),3,7,4,-,-,8,-,global,2771,-1
a,acceleration (Q11376),-,-,4,-,-,7,-,global,5135,-1
" \mathbf{v} = \frac{d \mathbf{r}}{d t} \,, \quad \mathbf{a} = \frac{d \mathbf{v}}{d t} = \frac{d^2 \mathbf{r}}{d t^2} \,\!",definitions (N/A),-,-,-,-,-,6,-,global,2932,-1
theta,angle (Q11352),1,1,-,-,-,8,-,global,1780,-1
omega,angular velocity (Q161635),-,1,-,-,-,-,-,global,2091,-1
alpha,angular acceleration (Q186300),-,-,-,-,-,-,-,global,1826,-1
"\boldsymbol{\theta} = \theta \hat{\mathbf{n}} \,,\quad  \boldsymbol{\omega} = \frac{d \boldsymbol{\theta}}{d t} \,, \quad \boldsymbol{\alpha}= \frac{d \boldsymbol{\omega}}{d t} \,,",rotation (Q107617),-,-,-,-,-,9,-,global,2690,-1
" \mathbf{v} = \boldsymbol{\omega}\times \mathbf{r} \,\!",velocity (Q11465),-,-,-,-,-,-,-,global,5077,7120
v  = at+v_0 \quad [1]\\,velocity (Q11465),-,-,-,-,-,8,-,global,4067,-1
r  = r_0 + v_0 t + \tfrac12 {a}t^2 \quad [2]\\,position (N/A),-,-,-,-,-,9,-,global,2609,-1
r  = r_0 + \tfrac12 \left( v+v_0 \right )t \quad [3]\\v^2  = v_0^2 + 2a\left( r - r_0 \right) \quad [4]\\r  = r_0 + vt - \tfrac12 {a}t^2 \quad [5]\\,equations of motion (N/A),-,-,-,-,-,-,-,global,6936,3669
"\mathbf{v}  = \int \mathbf{a} dt = \mathbf{a}t+\mathbf{v}_0 \,, \quad [1] \\ \mathbf{r}  = \int (\mathbf{a}t+\mathbf{v}_0) dt = \frac{\mathbf{a}t^2}{2}+\mathbf{v}_0t +\mathbf{r}_0 \,, \quad [2] \\",equations of motion (N/A),-,-,-,-,-,-,-,global,7334,4967
"v  = at+v_0 \,, \quad [1] \\ r  = \frac{{a}t^2}{2}+v_0t +r_0 \,. \quad [2] \\",velocity (Q11465),-,-,-,-,-,5,-,global,3004,-1
 \mathbf{a} = \frac{(\mathbf{v} - \mathbf{v}_0)}{t} ,acceleration (Q11376),-,-,-,-,-,-,-,global,4664,8034
F,force (Q11402),-,9,2,-,-,8,-,global,2318,-1
m,mass (Q11423),1,3,2,-,-,4,-,global,2343,-1
 \mathbf{F} = m\mathbf{a} ,Newton's second law of motion (Q3268014),-,-,-,-,-,-,-,global,7796,5924
p,momentum (Q41273),5,-,-,-,-,10,-,global,4085,-1
 \mathbf{F} = \frac{d\mathbf{p}}{dt} ,Newton's second law of motion (Q3268014),-,-,-,-,-,-,7,global,4953,-1
" \mathbf{r} =\mathbf{r}\left ( r(t),\theta(t) \right ) = r \mathbf{\hat{e}}_r ",position (N/A),-,-,-,-,-,2,-,global,1956,-1
\mathbf{v} = \mathbf{\hat{e}}_r \frac{d r}{dt} + r \omega \mathbf{\hat{e}}_\theta ,velocity (Q11465),-,-,-,-,-,1,-,global,2292,-1
\mathbf{a} =\left ( \frac{d^2 r}{dt^2} - r\omega^2\right )\mathbf{\hat{e}}_r + \left ( r \alpha + 2 \omega \frac{dr}{dt} \right )\mathbf{\hat{e}}_\theta  ,acceleration (Q11376),-,-,-,-,-,1,-,global,1608,-1
" \frac{d\mathbf{p}_i}{dt} = \mathbf{F}_{E} + \sum_{i \neq j} \mathbf{F}_{ij} \,\!",Newton's second law of motion (Q3268014),-,-,-,-,-,-,4,global,3099,-1
"\boldsymbol{\tau} = \frac{d\mathbf{L}}{dt} \,, ",Newton's second law of motion (Q3268014),-,-,-,-,-,-,-,global,14369,5304
tau,torque (Q48103),-,-,-,-,-,-,-,global,6446,8655
L,angular momentum (N/A),-,-,-,-,-,-,-,global,9770,9882
