Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
P,power (Q25342),-,-,3,-,-,8,-,local,779,779
F,force (Q11402),-,9,2,-,-,-,-,global,1519,-1
p,momentum (Q41273),5,-,-,-,-,-,-,global,6757,-1
t,time (Q11471),1,3,4,-,-,-,-,global,2106,-1
"\vec{F} = \frac{\mathrm{d}\vec{p}}{\mathrm{d}t},",Newton's second law of motion (Q2397319),-,-,-,-,-,-,-,global,9059,4004
v,velocity (Q11465),3,7,4,-,-,4,-,global,2562,-1
m,mass (Q11423),1,3,2,-,-,5,-,global,1754,-1
"\vec{F} = \frac{\mathrm{d}\vec{p}}{\mathrm{d}t} = \frac{\mathrm{d}\left(m\vec{v}\right)}{\mathrm{d}t},",Newton's second law of motion (Q2397319),-,-,-,-,-,-,-,global,8133,5329
a,acceleration (Q11376),-,-,4,-,-,4,-,global,5553,-1
\vec{F} = m\frac{\mathrm{d}\vec{v}}{\mathrm{d}t}.,Newton's second law of motion (Q2397319),-,-,-,-,-,-,-,global,12029,6536
\vec{F} =m\vec{a}.,Newton's second law of motion (Q2397319),-,-,-,1,-,-,-,global,2335,-1
"\vec{F}_{1,2}=-\vec{F}_{2,1}.",newton's third law of motion (N/A),-,-,-,-,-,-,-,global,11061,1574
"\vec{F}_{1,2}+\vec{F}_{\mathrm{2,1}}=0.",newton's third law of motion (N/A),-,-,-,-,-,-,-,global,9099,4204
"\frac{\mathrm{d}\vec{p}_1}{\mathrm{d}t} + \frac{\mathrm{d}\vec{p}_2}{\mathrm{d}t}= \vec{F}_{1,2} + \vec{F}_{2,1} = 0.",newton's laws of motion (N/A),-,-,-,-,-,-,-,global,7669,12956
c,speed of light (Q2111),-,1,2,-,-,-,-,global,2213,-1
\vec{F} = \frac{\mathrm{d}\vec{p}}{\mathrm{d}t},Newton's second law of motion (Q2397319),-,-,-,-,-,-,-,global,12449,4525
" \vec{p} = \frac{m_0\vec{v}}{\sqrt{1 - v^2/c^2}},",Relativistic momentum (N/A),-,-,-,-,-,-,-,global,6299,2325
x,coordinate (Q12753000),5,-,-,-,-,-,-,global,2721,-1
y,coordinate (Q12753000),1,-,-,-,-,-,-,global,4341,-1
z,coordinate (Q12753000),1,-,-,-,-,-,-,global,5564,-1
gamma,Lorentz factor (Q599404),-,8,-,-,-,-,-,global,5825,-1
 \gamma = \frac{1}{\sqrt{1 - v^2/c^2}}.,Lorentz factor (Q599404),-,-,-,-,-,-,1,global,5243,-1
"\vec{F} = \left(\gamma^3 m a_x, \gamma m a_y, \gamma m a_z\right),",relativistic force (N/A),-,-,-,-,-,-,-,global,5889,1627
F = m a,Newton's second law of motion (Q2397319),-,-,-,-,-,-,-,global,9963,4860
mu,index (N/A),-,-,-,-,-,-,-,global,3288,8592
A,matrix (Q44337),2,-,-,-,-,-,-,global,3826,-1
