Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
E,energy,1,4,-,-,7,-,global,1967,-1
m,mass,1,3,-,-,9,-,global,1694,-1
c,speed of light,-,1,-,-,-,-,global,3242,-1
E=mc^2,mass–energy equivalence,-,-,1,1,-,1,global,3220,-1
v,vector,1,-,-,-,-,-,global,1288,-1
d,degree,1,6,-,-,-,-,global,1237,-1
tau,angular frequency,-,2,-,-,-,-,global,3159,-1
\tilde v=dx^{(4)}/d\tau,N/A,-,-,-,-,-,-,global,1992,1477
x,point,1,-,-,-,-,-,global,2269,-1
p,probability,-,7,-,-,-,-,global,4911,-1
"\,v=dx^{(4)}/dt",velocity,-,-,-,-,-,-,global,1693,-1
m_0 = 0,N/A,-,-,-,-,-,-,global,2931,1919
E_r = pc,N/A,-,-,-,-,-,-,global,2550,1338
m_0,mass,-,-,-,-,1,-,global,907,-1
"m_{L}=\frac{m_{0}}{\left(\sqrt{1-\frac{v^{2}}{c^{2}}}\right)^{3}},\quad m_{T}=\frac{m_{0}}{\sqrt{1-\frac{v^{2}}{c^{2}}}} ",N/A,-,-,-,-,-,-,global,3226,2187
