Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
I,moment of inertia (Q165618),-,8,-,-,-,-,-,global,1501,-1
L,angular momentum (N/A),-,-,-,-,-,-,-,global,9812,1558
omega,angular velocity (Q161635),-,1,-,-,-,-,-,global,1682,-1
I = \frac{L}{\omega}.,moment of inertia (Q165618),-,-,-,-,-,-,-,global,11503,1713
E,energy (Q11379),1,4,2,-,-,5,-,global,1482,-1
r,distance (Q126017),5,1,5,-,-,-,-,global,2728,-1
alpha,angular acceleration (Q186300),-,-,-,-,-,-,-,global,1534,-1
tau,torque (Q48103),-,-,-,-,-,-,-,global,2551,-1
\tau = I \alpha.,torque (N/A),-,-,-,-,-,-,-,global,6592,2343
I = mr^2.,moment of inertia (Q165618),-,-,-,-,-,-,2,global,1919,-1
