Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
c,speed of light (Q2111),-,1,2,-,-,-,-,global,1143,-1
G,gravitational constant (Q18373),-,7,-,-,-,-,-,global,4112,-1
m,mass (Q11423),1,3,2,-,-,-,-,global,1394,-1
\Delta r_s\Delta r\ge\ell^2_{P},uncertainty principle (N/A),-,-,-,-,-,-,-,global,5361,3212
r,radius (Q173817),2,2,1,-,-,-,-,global,1449,-1
E,energy (Q11379),1,4,2,-,-,-,-,global,1019,-1
\ell_\mathrm{P} =\sqrt\frac{\hbar G}{c^3} ,Planck length (Q207387),-,-,-,1,-,-,-,global,2467,-1
P,planck (N/A),-,-,-,-,-,2,-,global,4139,-1
r_s,gravitional radius (N/A),-,-,-,-,-,-,-,global,1973,6919
\ell_P,Planck length (Q207387),-,-,-,-,-,-,-,global,3633,1361
\Delta(mc)\Delta r\ge\hbar /2,Heisenberg's uncertainty principle (N/A),-,-,-,-,-,-,-,global,8855,4161
dS,invariant interval (N/A),-,-,-,-,-,-,-,global,3699,1861
\Delta g,metric tensor (N/A),-,-,-,-,-,-,-,global,3772,2609
l,number (N/A),2,-,-,-,-,-,-,global,1547,-1
zeta,deviation (N/A),-,-,-,-,-,9,-,global,1426,-1
varphi,gravitational potential (N/A),-,-,-,-,-,-,-,global,5729,3191
\varphi=Gm/l,gravitational potential (N/A),-,-,-,-,-,-,-,global,5153,1265
\ell_P=\sqrt{G\hbar/c^3}\approx 10^{-35}\mathrm{m},Planck length (Q207387),-,-,-,-,-,-,-,global,3215,1289
\Delta\Gamma,Christoffel symbols (N/A),-,-,-,-,-,-,-,global,4527,1033
Delta,Cristoffel symbol (N/A),-,-,-,-,-,-,-,global,5737,1343
Gamma,Christoffel symbol (N/A),-,-,-,-,-,-,-,global,4488,1117
