Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
v,speed (Q3711325),-,4,1,-,-,6,-,global,1981,-1
d,distance (Q126017),-,-,3,-,-,5,-,global,4167,-1
t,time (Q11471),1,3,4,-,-,8,-,global,1581,-1
"v = \frac{d}{t},",speed (Q3711325),-,-,-,-,-,6,-,global,3432,-1
r,coordinate (Q12753000),1,-,-,-,-,-,-,global,2124,-1
"v = \left|\boldsymbol v\right| = \left|\dot {\boldsymbol r}\right| = \left|\frac{d\boldsymbol r}{dt}\right|\,.",speed (Q3711325),-,-,-,-,-,3,-,global,1790,-1
s,distance (Q126017),-,-,-,-,-,4,-,global,1465,-1
v = \frac{ds}{dt}.,speed (Q3711325),-,-,-,-,-,3,-,global,1847,-1
"d = \boldsymbol{\bar{v}}t\,.",speed (Q3711325),-,-,-,-,-,5,-,global,2865,-1
omega,angular velocity (Q161635),-,1,-,-,-,-,-,global,2509,-1
"v \propto \!\, r \omega\,,",tangential velocity (N/A),-,-,-,-,-,-,4,global,2552,-1
"v = r\omega\,.",tangential velocity (N/A),-,-,-,-,-,-,7,global,4555,-1
