Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
v,velocity (Q11465),3,7,4,-,-,1,-,global,1814,-1
t,time (Q11471),1,3,4,-,-,3,-,global,1976,-1
Delta,interval (Q189962),-,-,-,-,-,4,-,global,1969,-1
x,displacement (Q190291),-,-,-,-,-,5,-,global,2380,-1
\boldsymbol{\bar{v}} = \frac{\Delta\boldsymbol{x}}{\Delta\mathit{t}} .,velocity (Q11465),-,-,-,1,2,1,-,global,2449,-1
"\boldsymbol{\bar{v}} = {1 \over t_1 - t_0 } \int_{t_0}^{t_1} \boldsymbol{v}(t) \ dt ,",velocity (Q11465),-,-,-,1,-,1,-,global,1271,-1
\boldsymbol{v} = \lim_{{\Delta t}\to 0} \frac{\Delta \boldsymbol{x}}{\Delta t} = \frac{d\boldsymbol{x}}{d\mathit{t}} .,velocity (Q11465),-,-,-,-,-,6,-,global,2459,-1
\boldsymbol{x} = \int \boldsymbol{v} \ d\mathit{t} .,displacement (Q190291),-,-,-,-,-,1,-,global,1727,-1
a,acceleration (Q11376),-,-,4,-,-,5,-,global,4093,-1
 \boldsymbol{a} = \frac{d\boldsymbol{v}}{d\mathit{t}} .,acceleration (Q11376),-,-,-,-,-,5,-,global,3011,-1
\boldsymbol{v} = \int \boldsymbol{a} \ d\mathit{t} .,velocity (Q11465),-,-,-,1,-,6,-,global,3270,-1
u,velocity (Q11465),-,2,1,-,-,3,-,global,2698,-1
\boldsymbol{v} = \boldsymbol{u} + \boldsymbol{a}t,velocity (Q11465),-,-,-,-,-,3,-,global,2771,-1
\boldsymbol{x} = \frac{(\boldsymbol{u} + \boldsymbol{v})}{2}\mathit{t} = \boldsymbol{\bar{v}}\mathit{t},displacement (Q190291),-,-,-,-,-,2,-,global,2050,-1
E,energy (Q11379),1,4,2,-,-,4,-,global,2286,-1
m,mass (Q11423),1,3,2,-,-,10,-,global,2097,-1
E_{\text{k}} = \tfrac{1}{2}mv^{2},kinetic energy (Q46276),-,-,-,-,-,-,1,global,5510,-1
p,momentum (Q41273),5,-,-,-,-,2,-,global,2813,-1
\boldsymbol{p}=m\boldsymbol{v},momentum (Q41273),-,-,-,-,-,2,-,global,3541,-1
c,speed of light (Q2111),-,1,2,-,-,-,-,global,2710,-1
gamma,Lorentz factor (Q599404),-,-,-,-,-,-,-,global,6416,3263
r,radius (Q173817),2,2,1,-,-,-,-,global,1903,-1
\gamma = \frac{1}{\sqrt{1-\frac{v^{2}}{c^{2}}}},Lorentz factor (Q599404),-,-,-,-,-,-,1,global,1700,-1
"v_{\text{e}} = \sqrt{\frac{2GM}{r}} = \sqrt{2gr},",escape velocity (N/A),-,-,-,-,-,-,-,global,6439,4767
\boldsymbol{v}_{A\text{ relative to }B} = \boldsymbol{v} - \boldsymbol{w},velocity (Q11465),-,-,-,3,-,2,-,global,2720,-1
\boldsymbol{v}=\boldsymbol{v}_T+\boldsymbol{v}_R,velocity (Q11465),-,-,-,1,-,3,-,global,2228,-1
L,angular momentum (N/A),-,-,-,-,-,-,-,global,4201,2199
omega,angular velocity (Q161635),-,1,-,-,-,-,-,global,2292,-1
"L=mrv_T=mr^2\omega\,",angular momentum (N/A),-,-,-,-,-,-,-,global,10620,4488
