Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
\frac{d\mathbf{v}_M}{dt} = -16 \pi^2 \ln \Lambda G^2 m (M+m) \frac{1}{v_M^3}\int_0^{v_M}v^2 f(v)  d v \mathbf{v}_M,Chandrasekhar dynamical friction formula (N/A),-,-,-,-,-,-,-,global,14647,2051
G,gravitational constant (Q18373),-,7,-,-,-,-,-,global,8177,-1
M,mass (Q11423),1,1,-,-,-,1,-,global,1112,-1
m,mass (Q11423),1,3,2,-,-,3,-,global,2390,-1
v,velocity (Q11465),3,7,4,-,-,7,-,global,3726,-1
 {v_M} ,velocity of the object under consideration (N/A),-,-,-,-,-,-,-,global,11960,939
 \mbox{ln}(\Lambda) ,Coulomb logarithm (N/A),-,-,-,-,-,-,-,global,7552,3202
f(v),density distribution of the stars (N/A),-,-,-,-,-,-,-,global,11177,1784
f,function (Q15810910),1,4,-,-,-,-,-,global,1210,-1
d,derivative (Q29175),-,-,-,-,-,-,-,global,6825,-1
pi,constant (Q188248),-,-,-,-,-,-,-,global,3525,-1
f(v) = \frac{N}{(2\pi\sigma^2)^{3/2}}e^{-\frac{v^2}{2\sigma^2}},Maxwellian distribution (N/A),-,-,-,-,-,-,-,global,9134,3174
N,number (N/A),2,-,-,-,-,7,-,global,2201,-1
sigma,dispersion (Q182893),-,-,-,-,-,5,-,global,4455,-1
rho,density (Q29539),1,1,-,-,-,3,-,global,1605,-1
 \mathrm{erf}(X) ,error function (Q579262),-,-,-,-,-,-,-,global,3458,2653
F,force (Q11402),-,9,2,-,-,3,-,global,3902,-1
C,dimensionless numerical factor (N/A),-,-,-,-,-,-,-,global,1442,14296
F_{dyn} \approx C \frac{G^2 M^2 \rho}{v^2_M},force from dynamical friction (N/A),-,-,-,-,-,-,-,global,9949,1370
 \rho= mN ,density of matter field (N/A),-,-,-,-,-,-,-,global,4027,1388
