Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
m,N/A (N/A),-,-,-,-,-,-,-,local,False,False
m,N/A (N/A),-,-,-,-,-,-,-,local,False,False
m,N/A (N/A),-,-,-,-,-,-,-,local,False,False
r,N/A (N/A),-,-,-,-,-,-,-,local,False,False
r,N/A (N/A),-,-,-,-,-,-,-,local,False,False
k,N/A (N/A),-,-,-,-,-,-,-,local,False,False
s,N/A (N/A),-,-,-,-,-,-,-,local,False,False
\frac{M}{10^8M_\odot} \approx 3.1\left(\frac{\sigma}{200~{\rm km}~{\rm s}^{-1}}\right)^4., Faber–Jackson law for black holes (N/A),-,-,-,-,-,-,-,global,2234,2754
M,mass (Q11423),1,1,-,-,-,-,-,global,1142,-1
sigma,velocity dispersion (N/A),-,-,-,-,-,-,-,global,8131,2931
M_\odot,N/A (N/A),-,-,-,-,-,-,-,global,False,False
r,N/A (N/A),-,-,-,-,-,-,-,global,False,False
m,N/A (N/A),-,-,-,-,-,-,-,global,False,False
k,N/A (N/A),-,-,-,-,-,-,-,global,False,False
s,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\frac{M}{10^8M_\odot} \approx 1.9\left(\frac{\sigma}{200~{\rm km}~{\rm s}^{-1}}\right)^{5.1}.,M-sigma relation (N/A),-,-,-,-,-,-,1,global,2172,-1
