Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
\lambda_\text{max} T = b,Wien's displacement law (Q214336),-,-,-,1,-,-,1,global,967,-1
lambda,wavelength (Q41364),-,5,-,-,-,2,-,global,10413,-1
T,temperature (Q11466),1,3,4,-,-,5,-,global,3178,-1
b,Wien 's displacement constant (N/A),-,-,-,-,-,-,-,global,10100,-1
L,luminosity (N/A),-,10,-,-,-,3,-,global,22416,-1
pi,N/A (N/A),-,-,-,-,-,-,-,global,False,False
sigma,Stefan–Boltzmann constant (N/A),-,-,-,-,-,-,-,global,9729,-1
R,radius (Q173817),1,3,1,-,-,-,-,global,6440,-1
v,speed (Q3711325),-,4,1,-,-,-,-,global,4315,-1
c,speed of light (Q2111),-,1,2,-,-,-,-,global,2611,-1
H,hubble constant (N/A),-,-,-,-,-,-,-,global,12735,-1
v = H_0 d,Hubble's law (Q179916),-,-,-,-,-,-,1,global,2390,-1
d,distance (Q126017),-,-,3,-,-,-,-,global,5020,-1
z,redshift (N/A),7,-,-,-,-,1,-,global,5665,-1
f,frequency (Q11652),-,-,1,-,-,1,-,global,2085,-1
